"","RIVTYPE","B","C","A","D","F","Data defic","E","tot_leng24","prcDDef24","prp24_ab"
"174","3_N_U",463480.355760381,357402.249733657,363037.100085888,98446.1263130353,18540.455755744,0,0,1300906.28764871,0,0.635339734839886
"175","3_P_F",52990.0134664353,116021.46789734,65469.3747663302,150836.759864783,61749.1993719715,5027.5069225825,17959.7520297954,470054.074319239,0.0106955926929548,0.252012257109622
"176","3_P_L",1028000.42842751,1355190.13263751,363587.982272499,661339.84278003,100811.98253582,39989.2249773738,116996.405264152,3665915.9988949,0.0109083855138603,0.379601826970261
"177","3_P_M",35133.9918968184,19932.1375316579,0,20116.7555624602,143.985816637925,0,3215.74115773833,78542.6119653127,0,0.44732395597354
"178","3_P_U",476109.950521783,394749.956222455,48202.4530306525,164311.708682006,29582.9370369409,0,37398.9315263309,1150355.93702017,0,0.455782759647932
"179","4_N_L",0,17609.0802426715,0,19934.2892071141,19243.1546221534,0,14373.7989234066,71160.3229953455,0,0
"180","4_N_M",4524.73607422763,22873.1695264495,0,7130.91498687239,337.558746846343,0,506.23992815687,35372.6192625527,0,0.127916342316718
"181","4_N_U",2866.26437847506,132298.429300618,0,32817.9616007664,11087.3040500297,0,18312.68055147,197382.639881359,0,0.014521360035502
"182","4_P_F",108.362600213358,54558.8836631845,0,0,0,0,0,54667.2462633978,0,0.00198222167056385
"183","4_P_L",60122.1165092998,181313.71996406,0,92207.8446410639,27293.5629378397,0,0,360937.244052264,0,0.166572215807672
"184","4_P_M",12809.8554574622,51312.2120934865,0,21919.2488989609,533.954074971931,0,0,86575.2705248815,0,0.147962060988082
